数据来源,车辆全称,品牌车系,新车的价格,二手车的成交价,车况校正价,使用年限,车辆评级,车辆大类,车辆小类,车辆属性,城市,行驶里程,残值率,rounded_year
有辆,丰田 卡罗拉 2017款 1.6 无级 GL(改款),丰田-卡罗拉,10.78,2.4,2.74,8.42,差,轿车,紧凑型车,合资,大连,42.2,0.2541743970315399,8.0
有辆,丰田 卡罗拉 2008款 1.8 自动 GL-i 天窗特别版,丰田-卡罗拉,21.48,1.54,1.54,15.92,中,轿车,紧凑型车,合资,大连,7.6,0.0716945996275605,16.0
有辆,马自达 马自达3星骋-三厢 2011款 2.0 手自一体 豪华版,马自达-马自达3,15.38,1.11,1.11,12.25,中,轿车,紧凑型车,合资,武汉,25.1,0.0721716514954486,12.0
优信拍,日产 骐达 2014款 1.6 自动 智能型,日产-骐达,12.63,2.03,2.03,10.83,中,轿车,紧凑型车,合资,杭州,17.46,0.1607284243863816,11.0
优信拍,奔驰 E级 2016款 2.0T 自动 E200L运动型,奔驰-E级,43.68,16.04,16.04,7.08,中,轿车,中大型车,合资,洛阳,10.7,0.3672161172161172,7.0
优信拍,大众 宝来三厢 2021款 1.5 自动 舒适智联版,大众-宝来,13.6,4.04,4.62,4.17,差,轿车,紧凑型车,合资,杭州,8.49,0.3397058823529412,4.0
优信拍,大众 途安 2008款 2.0 手动 智享版5座,大众-途安,16.98,0.77,0.77,15.17,中,MPV,紧凑型车,合资,上海,14.57,0.0453474676089517,15.0
优信拍,比亚迪 元PLUS 2022款 430KM 自动 豪华型,比亚迪-元,13.18,5.21,5.95,2.83,差,SUV,紧凑型车,国产,南京,6.35,0.4514415781487101,3.0
优信拍,福特 蒙迪欧 2013款 2.0T 自动 GTDi200豪华型,福特-蒙迪欧,22.28,2.1,2.4,10.92,差,轿车,中型车,合资,北京,22.88,0.1077199281867145,11.0
优信拍,大众 速腾 2017款 1.6 自动 舒适型,大众-速腾,15.08,4.29,4.29,8.25,中,轿车,紧凑型车,合资,长春,7.81,0.2844827586206896,8.0
有辆,英菲尼迪 Q50L 2015款 2.0T 手自一体 悦享版,英菲尼迪-Q50,30.98,4.4,5.03,9.83,差,轿车,中型车,合资,杭州,7.38,0.1623628147191736,10.0
优信拍,奔驰 GLC级 2017款 2.0T 自动 GLC 200 4MATIC,奔驰-GLC级,42.9,9.15,9.15,8.42,中,SUV,中型车,合资,北京,16.59,0.2132867132867133,8.0
优信拍,宝骏 310 2016款 1.2 手动 豪华型,宝骏-310,4.98,0.95,0.95,8.92,中,轿车,小型车,国产,哈尔滨,5.89,0.1907630522088353,9.0
有辆,大众 高尔夫·嘉旅 2018款 1.4TSI 双离合 230TSI 进取型,大众-高尔夫,17.19,4.09,4.09,8.33,中,轿车,紧凑型车,合资,烟台,13.1,0.2379290285049447,8.0
优信拍,日产 LANNIA 蓝鸟 2016款 1.6 自动 智酷版,日产-蓝鸟,13.19,2.64,3.02,8.67,差,轿车,紧凑型车,合资,深圳,6.34,0.2289613343442001,9.0
优信拍,哈弗 哈弗M6 2021款 1.5T 自动 DCT豪华智联型PLUS,哈弗-M6,8.79,5.01,5.01,2.25,中,SUV,紧凑型车,国产,北京,1.94,0.5699658703071673,2.0
优信拍,日产 天籁 2016款 2.5 自动 公爵XV-VIP旗舰版,日产-天籁,29.88,6.99,6.99,6.5,中,轿车,中型车,合资,武汉,8.23,0.2339357429718875,6.0
有辆,雪佛兰 赛欧3 2015款 1.5 手动 幸福版(天窗),雪佛兰-赛欧,7.39,0.41,0.45,10.67,差,轿车,小型车,合资,西安,12.13,0.060893098782138,11.0
优信拍,广汽传祺 传祺GS4 2016款 1.5T 自动 235T豪华版,传祺-GS4,14.38,1.82,1.82,9.08,中,SUV,紧凑型车,国产,武汉,9.1,0.1265646731571627,9.0
优信拍,广汽传祺 传祺M8 2021款 改款 领秀系列 2.0T 自动 390T 豪华版,传祺-M8,17.98,8.6,7.87,4.08,优,MPV,中大型车,国产,深圳,13.17,0.4377085650723025,4.0
有辆,本田 CR-V 2010款 2.0 手动 LXi 都市版,本田-CR-V,18.98,1.0,1.0,15.0,中,SUV,紧凑型车,合资,青岛,38.3,0.0526870389884088,15.0
优信拍,日产 天籁 2014款 2.5 自动 公爵XV荣耀版,日产-天籁,23.18,3.0,3.0,11.08,中,轿车,中型车,合资,南宁,21.36,0.1294219154443485,11.0
优信拍,比亚迪 宋PLUS新能源 2021款 1.5L 自动 DM-i 110KM 旗舰PLUS,比亚迪-宋,15.98,6.75,6.75,2.75,中,SUV,紧凑型车,国产,郑州,6.66,0.4224030037546933,3.0
有辆,大众 途观 2013款 1.8TSI 手自一体 四驱豪华版,大众-途观,27.68,2.37,2.37,12.0,中,SUV,紧凑型车,合资,成都,15.5,0.085621387283237,12.0
